RoomName,TimeSeries,sensorType,floor,seatPlaces,area,areaType,RoomFunction,Side,SmoothedTS,Cluster
NU_08AS1a_AQ01RQ_Referentieluchtkwaliteit_B,[1200. 1200. 1200. ...  441.  435.  436.],Co2,8,,,,,,"[1200.         1200.         1200.         ...  438.46666667  440.07142857
  441.46153846]",0
NU_08AS1b_AQ01RQ_Referentieluchtkwaliteit_B,[1200 1200 1200 ...    0    0    0],Co2,8,,,,,,[1200. 1200. 1200. ...    0.    0.    0.],2
NU_08AS2a_AQ01RQ_Referentieluchtkwaliteit_B,[1200 1200 1200 ...  420  414  418],Co2,8,,,,,,"[1200.         1200.         1200.         ...  484.06666667  489.07142857
  495.15384615]",0
NU_08AS2b_AQ01RQ_Referentieluchtkwaliteit_B,[1200. 1200. 1200. ...  428.  424.  423.],Co2,8,,,,,,"[1200.         1200.         1200.         ...  427.06666667  428.14285714
  429.        ]",0
NU_07AS1a_AQ01RQ_Referentieluchtkwaliteit_B,[1200 1200 1200 ...  412  412  413],Co2,7,,,,,,"[1200.         1200.         1200.         ...  416.2         416.35714286
  416.15384615]",0
NU_07AS1b_AQ01RQ_Referentieluchtkwaliteit_B,[1200. 1200. 1200. ...  429.  428.  429.],Co2,7,,,,,,"[1200.         1200.         1200.         ...  426.2         426.35714286
  426.53846154]",0
NU_07AS2a_AQ01RQ_Referentieluchtkwaliteit_B,[1200. 1200. 1200. ...  449.  443.  440.],Co2,7,,,,,,"[1200.         1200.         1200.         ...  445.93333333  446.57142857
  447.15384615]",0
NU_07AS2b_AQ01RQ_Referentieluchtkwaliteit_B,[1200 1200 1200 ...  417  429  429],Co2,7,,,,,,"[1200.         1200.         1200.         ...  420.26666667  420.28571429
  420.23076923]",0
NU_07BS3a_AQ02RQ_Referentieluchtkwaliteit_B,[1200. 1200. 1200. ...  430.  423.  435.],Co2,7,,,,,,"[1200.         1200.         1200.         ...  430.66666667  431.28571429
  431.46153846]",0
NU_07BS3a_AQ01RQ_Referentieluchtkwaliteit_B,[1200 1200 1200 ...  418  418  424],Co2,7,,,,,,"[1200.         1200.         1200.         ...  419.86666667  419.92857143
  420.        ]",0
NU_07BS3b_AQ01RQ_Referentieluchtkwaliteit_B,[ 830  841  904 ... 1116 1047 1042],Co2,7,,,,,,"[ 862.30769231  857.71428571  856.33333333 ... 1115.8        1116.64285714
 1121.61538462]",1
NU_07BS3b_AQ02RQ_Referentieluchtkwaliteit_B,[1200. 1200. 1200. ...  491.  465.  452.],Co2,7,,,,,,"[1200.         1200.         1200.         ...  504.93333333  505.85714286
  510.46153846]",0
NU_07CS4c_AQ01RQ_Referentieluchtkwaliteit_B,[ 830  841  904 ... 1116 1047 1042],Co2,7,,,,,,"[ 862.30769231  857.71428571  856.33333333 ... 1115.8        1116.64285714
 1121.61538462]",1
NU_06AS1a_AQ01RQ_Referentieluchtkwaliteit_B,[1200 1200 1200 ...  427  427  427],Co2,6,,,,,,[1200. 1200. 1200. ...  427.  427.  427.],0
NU_06AS1b_AQ01RQ_Referentieluchtkwaliteit_B,[1200 1200 1200 ...  517  558  531],Co2,6,,,,,,"[1200.         1200.         1200.         ...  548.66666667  557.35714286
  566.38461538]",0
NU_06AS2a_AQ01RQ_Referentieluchtkwaliteit_B,[1200 1200 1200 ... 1947 1947 1947],Co2,6,,,,,,[1200. 1200. 1200. ... 1947. 1947. 1947.],4
NU_06AS2a_AQ02RQ_Referentieluchtkwaliteit_B,[1200. 1200. 1200. ...  426.  443.  432.],Co2,6,,,,,,"[1200.         1200.         1200.         ...  433.26666667  432.5
  431.76923077]",0
NU_06AS2b_AQ01RQ_Referentieluchtkwaliteit_B,[1200 1200 1200 ...  600  617  485],Co2,6,,,,,,"[1200.         1200.         1200.         ...  502.66666667  510.
  518.        ]",0
NU_06BS3a_AQ01RQ_Referentieluchtkwaliteit_B,[1200. 1200. 1200. ...  448.  451.  457.],Co2,6,,,,,,"[1200.         1200.         1200.         ...  453.26666667  455.28571429
  457.61538462]",0
NU_06BS3a_AQ02RQ_Referentieluchtkwaliteit_B,[1200. 1200. 1200. ...  444.  446.  447.],Co2,6,,,,,,"[1200.         1200.         1200.         ...  456.13333333  455.21428571
  454.23076923]",0
NU_06BS3b_AQ01RQ_Referentieluchtkwaliteit_B,[1200. 1200. 1200. ...  573.  573.  573.],Co2,6,,,,,,[1200. 1200. 1200. ...  573.  573.  573.],0
NU_06BS3b_AQ02RQ_Referentieluchtkwaliteit_B,[1200 1200 1200 ...  948  948  948],Co2,6,,,,,,[1200. 1200. 1200. ...  948.  948.  948.],0
NU_06CS4a_AQ01RQ_Referentieluchtkwaliteit_B,[1200. 1200. 1200. ...  541.  498.  453.],Co2,6,,,,,,"[1200.         1200.         1200.         ...  490.2         494.21428571
  498.76923077]",0
